sp,sp_name,sp_target,n
PORSPP,Porphyra spp.,balanus,345
PORSPP,Porphyra spp.,mytilus,344
PORSPP,Porphyra spp.,pelvetiopsis,60
ROCK,Rock,balanus,345
ROCK,Rock,mytilus,344
ROCK,Rock,pelvetiopsis,60
ROCK,Rock,phyllospadix,69
SAND,Sand,balanus,345
SAND,Sand,mytilus,344
SAND,Sand,pelvetiopsis,60
SAND,Sand,phyllospadix,69
SARMUT,Sargassum muticum,balanus,345
SARMUT,Sargassum muticum,mytilus,344
SARMUT,Sargassum muticum,pelvetiopsis,60
SARMUT,Sargassum muticum,phyllospadix,69
SCYSPP,Scytosiphon/Melanosiphon spp,balanus,345
SCYSPP,Scytosiphon/Melanosiphon spp,mytilus,344
SCYSPP,Scytosiphon/Melanosiphon spp,pelvetiopsis,60
SEMCAR,Semibalanus cariosus,balanus,345
SEMCAR,Semibalanus cariosus,mytilus,344
SEMCAR,Semibalanus cariosus,pelvetiopsis,60
SEPBRA,Septifer bifurcatus; Brachidontes adamsianus,balanus,55
SEPBRA,Septifer bifurcatus; Brachidontes adamsianus,mytilus,55
SILCOM,Silvetia compressa,balanus,345
SILCOM,Silvetia compressa,mytilus,344
SILCOM,Silvetia compressa,pelvetiopsis,60
TAR,Tar,balanus,345
TAR,Tar,mytilus,344
TAR,Tar,pelvetiopsis,60
TAR,Tar,phyllospadix,69
TETRUB,Tetraclita rubescens,balanus,345
TETRUB,Tetraclita rubescens,mytilus,344
TETRUB,Tetraclita rubescens,pelvetiopsis,60
ULVENT,Ulva/Enteromorpha,balanus,345
ULVENT,Ulva/Enteromorpha,mytilus,344
ULVENT,Ulva/Enteromorpha,pelvetiopsis,60
